Año de Publicación,,,Acceso Abierto,,,Tema Principal,,,Institución de Afiliación,,,Tipo,,,País de Autoría,,
nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,
2025,14216112,,No,198152822,,Tecnología y estrategias militares,19206156,,"Ministerio de Educación, Cultura, Deportes, Ciencia y Tecnología",3974697,,artículo,210253570,,Estados Unidos de América,32984894,
2020,11234096,,Sí,93542586,,Estudios científicos y económicos diversos,2109973,,Institutos Nacionales de Ciencias Naturales,3895252,,capítulo de libro,24162441,,China,16019102,
2019,10524295,,,,,Hermenéutica e identidad narrativa,980088,,Instituto Nacional de Ciencias de la Fusión,3850033,,conjunto de datos,14301628,,Japón,9838152,
2023,10523455,,,,,Percepción y evaluación auditiva humana,822788,,Centro Nacional de Investigación Científica (Francia),2963656,,tesis,7591433,,Reino Unido de Gran Bretaña e Irlanda del Norte,8854477,
2021,10484991,,,,,Estudios de cristalización y solubilidad,776055,,Academia China de Ciencias,1530089,,preprint,7007096,,Alemania,7364902,
2016,10335581,,,,,Estudios urbanos y sociales franceses,650990,,Departamento de Energía de EE. UU.,1374149,,otro,6307047,,Francia,6056339,
2024,10328196,,,,,Estudios de literatura y cultura alemana,523494,,Universidad de Londres,1275806,,libro,6017644,,India,4908958,
2017,10187754,,,,,Distribución de especies y cambio climático,506283,,Academia de Ciencias de Rusia,1140991,,revisión,4145330,,Canadá,4234758,
2018,10180578,,,,,Derecho constitucional y política estadounidense,466143,,Oficina de Ciencia,1028037,,paratexto,3907393,,Italia,3864120,
2015,9996578,,,,,Estudios de la antigüedad clásica,440548,,Universidad de Míchigan,941328,,guías de biblioteca,1776332,,Brasil,3647131,
2022,9934015,,,,,Estudios e interpretación bíblica,353420,,Universidad de Harvard,887925,,carta,1721285,,Australia,3248906,
2014,9772404,,,,,Historia y filosofía china,334918,,Instituto Nacional de Salud e Investigación Médica (Francia),685680,,informe,987113,,España,3227032,
2013,9241564,,,,,Estudios históricos y análisis sociocultural,330258,,Departamento de Salud y Servicios Humanos de EE. UU.,662195,,entrada de referencia,905203,,Indonesia,3203926,
2012,8787152,,,,,Ciencias sociales y políticas,322265,,Sociedad Max Planck,632514,,revisión por pares,897241,,Federación Rusa,2760797,
2011,8501082,,,,,Procesamiento de imágenes satelitales y fotogrametría,315120,,Asociación Helmholtz de Centros de Investigación Alemanes,560452,,editorial,786340,,"Corea, República de",2238539,
2010,7825182,,,,,Investigación en agricultura y desarrollo rural,303701,,Battelle,547539,,errata,419364,,Países Bajos,2213139,
2009,7335567,,,,,Hidratos de metano y fenómenos relacionados,303484,,Universidad de la Sorbona,536367,,norma,411945,,Polonia,1858233,
2008,6745291,,,,,Estudios de derecho europeo e internacional,300373,,Universidad College de Londres,529075,,materiales suplementarios,66369,,Suiza,1838506,
2007,6351659,,,,,Musicología y análisis musical,298728,,Stanford University,527816,,retractación,23134,,Turquía,1627425,
2026,6156680,,,,,Métodos educativos y uso de medios,298579,,Universidad de Toronto,514299,,software,4756,,Suecia,1440610,
2006,5824658,,,,,Sistemas educativos y política,296285,,Laboratorio Nacional del Noroeste del Pacífico,511647,,base de datos,1350,,Bélgica,1372682,
2005,5338815,,,,,Investigación en geología y paleoclimatología,294787,,Universidad de París-Saclay,504446,,sección de libro,851,,"Irán, República Islámica de",1347981,
2004,4995245,,,,,Reforma y cristianismo moderno temprano,291998,,Universidad de Washington,492577,,componente de informe,436,,"Taiwán, Provincia de China",1180843,
2003,4599250,,,,,"Educación, psicología e investigación social",285721,,Universidad de París (París Cité),479253,,beca,107,,México,1075708,
2002,4324377,,,,,Liderazgo y prácticas educativas,281105,,Institutos Nacionales de Salud,475737,,,,,Dinamarca,1002957,
2001,3712381,,,,,Historia y avances en química,274237,,Universidad de Tokio,475059,,,,,Austria,923670,
2000,3706516,,,,,Astrofísica y ciencias planetarias,273180,,"Instituto Nacional de Investigación para la Agricultura, la Alimentación y el Medio Ambiente",473124,,,,,Israel,860984,
1999,3058398,,,,,Administración pública y análisis político,272521,,Universidad Johns Hopkins,470719,,,,,Portugal,818842,
1998,2951302,,,,,Derecho y ciencias políticas,270745,,Universidad de Oxford,457586,,,,,Malasia,781720,
1997,2769673,,,,,Química analítica y cromatografía,269204,,Departamento de Defensa de EE. UU.,445444,,,,,Chequia,781174,
1996,2672247,,,,,Ciencias sociales y educativas,267433,,Gobierno de India,445407,,,,,Noruega,755653,
1995,2464748,,,,,Política y gestión sanitaria,266912,,Consejo Superior de Investigaciones Científicas,445162,,,,,Sudáfrica,755531,
1994,2326287,,,,,Artículos de investigación en física e ingeniería,265585,,Universidad de São Paulo,435501,,,,,Egipto,741863,
1993,2208407,,,,,Estudios arqueológicos e históricos,264853,,Mass General Brigham,429326,,,,,Grecia,720161,
1992,2108579,,,,,Geofísica y mediciones de gravedad,264097,,Universidad de Cornell,427809,,,,,Finlandia,714894,
1991,2021927,,,,,Investigación en ciencias médicas y de la salud,261505,,Universidad de Lyon,425640,,,,,Arabia Saudita,679721,
1990,2018940,,,,,Diagnóstico y tratamiento de enfermedades hepáticas,252881,,Consejo de los Institutos Federales Suizos de Tecnología,423301,,,,,Ucrania,626855,
1989,1861488,,,,,Ciencias sociales y gobernanza,250501,,Consejo de Estado de la República Popular China,420438,,,,,Pakistán,624624,
1988,1745434,,,,,Estudios teóricos y experimentales de física de partículas,249491,,Universidad de Cambridge,419657,,,,,Singapur,616312,
1987,1671359,,,,,Historia y avances en astronomía,248023,,"Universidad de California, Berkeley",416863,,,,,Argentina,586616,
1986,1586966,,,,,Análisis geológico y geoquímico,247856,,Institutos de Hospitalización y Cuidado de Carácter Científico (Italia),416071,,,,,Hong Kong,572738,
1985,1506400,,,,,Arqueología y estudios históricos,246908,,Laboratorio de Ciencias Moleculares Ambientales,410554,,,,,Irlanda,538309,
1984,1445347,,,,,"Raza, historia y sociedad estadounidense",244668,,Departamento de Asuntos de Veteranos de EE. UU.,407204,,,,,Colombia,528539,
1983,1391957,,,,,Casos legales y regulaciones,244454,,Universidad de París Ciencias y Letras,404548,,,,,Nueva Zelanda,527411,
1980,1351141,,,,,Estudios de botánica y ecología vegetal,243049,,Instituto de Ciencias Humanas y Sociales,403961,,,,,Hungría,501046,
1981,1342566,,,,,Técnicas de procesamiento del lenguaje natural,241749,,Universidad Tsinghua,379936,,,,,Nigeria,499598,
1982,1342279,,,,,Estudios históricos y literarios,235549,,"Universidad de California, Los Ángeles",373910,,,,,Chile,478010,
1979,1233638,,,,,Procesos de fabricación y optimización,233340,,Administración Nacional de Aeronáutica y del Espacio,372910,,,,,Tailandia,442342,
1978,1189207,,,,,Estudios de negocios y gestión,231828,,Universidad de Chicago,371126,,,,,Rumanía,437540,
1977,1140826,,,,,Estudios de plantas y animales,231568,,Universidad de Zhejiang,366379,,,,,Bangladés,293366,
1976,1095201,,,,,"Resultados cardiacos, anestésicos y quirúrgicos",230702,,Universidad de Columbia,364563,,,,,Eslovaquia,287501,
1975,1076282,,,,,Historia y política europea,227296,,Administración de Salud para Veteranos,362417,,,,,Túnez,285049,
1974,1025170,,,,,Lingüística y evolución del lenguaje,225694,,Universidad de Pensilvania,359963,,,,,Irak,274955,
1970,994407,,,,,Química y estudios de estereoquímica,224683,,Universidad de Yale,358883,,,,,Vietnam,273593,
1973,983670,,,,,Estudios de genómica y filogenética,224675,,Universidad de la Academia China de Ciencias,355143,,,,,Croacia,263891,
1972,962192,,,,,Salud pública y nutrición,223296,,Gobierno de la República Francesa,352860,,,,,Serbia,245375,
1971,921487,,,,,Patógenos vegetales y enfermedades fúngicas,221523,,Asistencia Pública – Hospitales de París,350262,,,,,Marruecos,243560,
1969,849386,,,,,Desarrollo de PYMEs y marketing digital,220661,,Universidad Jiao Tong de Shanghái,346275,,,,,Bulgaria,225883,
1968,793824,,,,,Física de la superconductividad y el magnetismo,219847,,Universidad de Pekín,345894,,,,,Eslovenia,221035,
1967,742839,,,,,Estudios de dieta y metabolismo,218887,,Instituto de Tecnología de Massachusetts,345668,,,,,Perú,219971,
1966,691053,,,,,Estudios de sociología y educación,214372,,Universidad Estatal de Ohio,345549,,,,,Argelia,214347,
1965,637437,,,,,Educación y desarrollo del carácter,214238,,Universidad de Wisconsin-Madison,342187,,,,,Emiratos Árabes Unidos,196764,
1964,590160,,,,,"Salud, medicina y sociedad",214172,,Universidad de Florida,338433,,,,,Ecuador,186091,
1963,557844,,,,,Procesos catalíticos en ciencia de materiales,213409,,Universidad de California en San Diego,337143,,,,,Filipinas,179820,
1962,507481,,,,,Redes neuronales y sus aplicaciones,212942,,CNRS Ingeniería,335236,,,,,Etiopía,166306,
1960,487984,,,,,Investigación en psicoanálisis y psicopatología,212927,,Universidad de Milán,333760,,,,,Kenia,157077,
1961,481558,,,,,Investigación aplicada en ingeniería,212753,,Universidad de Kioto,331330,,,,,Cuba,149597,
1959,430293,,,,,Historia e innovaciones médicas,212699,,Colegio Imperial de Londres,326603,,,,,Panamá,146586,
1958,403438,,,,,Comercio global y economía,212693,,Universidad de Columbia Británica,325106,,,,,Jordania,136927,
1957,382644,,,,,Dinámica del plasma solar y espacial,211667,,Universidad de Minnesota,321480,,,,,Uzbekistán,125743,
1956,361351,,,,,Investigación y tratamientos médicos,209368,,Gobierno de Australia,317303,,,,,Ghana,123566,
1955,353036,,,,,Investigación en ciencias sociales,205227,,Universidad de Carolina del Norte en Chapel Hill,316954,,,,,Lituania,121253,
1954,341491,,,,,Dinámica de paz y seguridad global,204995,,Academia Polaca de Ciencias,314233,,,,,Kazajistán,120642,
1953,335053,,,,,Física nuclear y sus aplicaciones,204759,,Universidad Estatal de Pensilvania,313226,,,,,Nepal,119432,
1952,316819,,,,,Investigación en neurociencia y neurofarmacología,204031,,Asociación Leibniz,312230,,,,,"Venezuela, República Bolivariana de",115216,
1951,302746,,,,,Dispositivos fotónicos y ópticos,200463,,Universidad de Indiana,310946,,,,,Catar,107496,
1950,296671,,,,,Historia y cultura japonesa,200431,,Universidad de Melbourne,310682,,,,,Bielorrusia,101515,
1949,231687,,,,,Estudios de salud y medicina,199079,,Universidad de Sídney,308698,,,,,Estonia,100056,
1948,215847,,,,,Estudios e historia islámica,198874,,Universidad de Illinois en Urbana-Champaign,308571,,,,,Chipre,97997,
1940,188165,,,,,"Estudios estelares, planetarios y galácticos",197534,,Instituto de Química (Francia),303370,,,,,Líbano,95923,
1947,188027,,,,,"Estudios históricos, literarios y culturales",197488,,Investigación e Innovación del Reino Unido,302266,,,,,Sri Lanka,95158,
1938,180229,,,,,"Multiculturalismo, política, migración y género",197125,,Consejo Nacional de Investigación,294431,,,,,Costa Rica,91231,
1939,176145,,,,,Ciencias médicas y biológicas,196848,,Administración Nacional de Seguridad Nuclear,290287,,,,,Letonia,89477,
1936,175119,,,,,Fisiología vegetal y estudios de cultivo,196193,,Universidad de Pittsburgh,290259,,,,,Uruguay,86506,
1937,174513,,,,,Gobernanza corporativa y derecho,195489,,Universidad de Heidelberg,288851,,,,,Luxemburgo,84601,
1935,173086,,,,,Difracción de rayos X en cristalografía,195398,,Universidad Claude Bernard Lyon 1,288222,,,,,"Tanzania, República Unida de",79110,
1930,169986,,,,,Lingüística y análisis del discurso,194831,,Instituto Nacional de Física Nuclear (Italia),285942,,,,,Uganda,74959,
1932,166628,,,,,Filosofía y pensamiento clásico,194718,,Instituto de Ciencias Biológicas,285889,,,,,Puerto Rico,74822,
1931,163791,,,,,"Educación, sociología y formación profesional",192306,,Clínica Mayo,285371,,,,,Macao,72080,
1934,163743,,,,,Historia ambiental y regional de América,188525,,Universidad Católica de Lovaina,284279,,,,,Camerún,69513,
1933,162942,,,,,Trastornos metabólicos y genéticos,187658,,"Universidad de California, San Francisco",282311,,,,,Kuwait,64757,
1929,159185,,,,,Educación y desarrollo del pensamiento crítico,187340,,Universidad de Mánchester,281550,,,,,Azerbaiyán,61583,
1946,158478,,,,,Gobernanza y gestión corporativa,186817,,Universidad de Osaka,280507,,,,,Omán,59712,
1928,154382,,,,,Estudios avanzados de física química,186794,,Comisariado para la Energía Atómica y las Energías Alternativas,278229,,,,,Tayikistán,54991,
1941,152205,,,,,Movimientos laborales y sindicatos,186660,,Universidad Grenoble Alpes,275634,,,,,Armenia,50093,
1927,150238,,,,,Materiales y dispositivos semiconductores,185134,,"Universidad de California, Davis",274628,,,,,Bosnia y Herzegovina,49510,
1942,145103,,,,,Técnicas y aplicaciones de imagen médica,184757,,Universidad de Nueva York,270980,,,,,Islandia,49253,
1926,144168,,,,,Investigación y epidemiología de la tuberculosis,184436,,Universidad McGill,270960,,,,,Macedonia del Norte,47787,
1925,134477,,,,,Teoría económica y política,183870,,Gobierno de la República de Corea,268919,,,,,"Bolivia, Estado Plurinacional de",44083,
1943,133568,,,,,Estudios de finanzas y banca islámica,183609,,Universidad Ludwig Maximilian de Múnich,268479,,,,,Sudán,43455,
1924,127391,,,,,Cuestiones jurídicas brasileñas,182861,,Universidad de Duke,267660,,,,,Georgia,43134,
1945,125160,,,,,Investigación y análisis lingüístico,182256,,Universidad Nacional de Singapur,266710,,,,,Zimbabue,39452,
1944,121760,,,,,Historia y teoría de las matemáticas,181557,,División de Ciencias Físicas,266368,,,,,Costa de Marfil,39380,
1923,120245,,,,,Estudios económicos y sociales históricos,181295,,Universidad de Tohoku,265650,,,,,Mongolia,38608,
1922,119634,,,,,Investigación en anticuerpos monoclonales y policlonales,179759,,Universidad de Edimburgo,265195,,,,,Sudán del Sur,36771,
1913,110816,,,,,Técnicas computacionales avanzadas y sus aplicaciones,179711,,Universidad Sun Yat-sen,263859,,,,,Yemen,34491,
1921,110794,,,,,Arqueología e historia del Mediterráneo antiguo,177443,,Departamento de Agricultura de EE. UU.,262948,,,,,Senegal,33788,
1912,106603,,,,,Desarrollo psicosocial y emocional de niños y adolescentes,177428,,Universidad Nacional de Seúl,262853,,,,,"Palestina, Estado de",33429,
1911,105652,,,,,Enseñanza y aprendizaje de inglés como lengua extranjera/segunda lengua,176599,,Universidad de Texas en Austin,262022,,,,,Zambia,33309,
1910,104748,,,,,Propiedades y aplicaciones de materiales,176187,,Academia de Ciencias Checa,259767,,,,,Camboya,33031,
1920,104176,,,,,Salud infantil y adolescente,174585,,Universidad del Sur de California,258091,,,,,Benín,31107,
1914,101936,,,,,Estudios históricos y culturales franceses,174550,,Universidad de Monash,258077,,,,,"Moldavia, República de",30895,
1909,98759,,,,,Avances en materiales para baterías,174031,,Universidad de Queensland,256481,,,,,Mozambique,29413,
1908,94700,,,,,Estudios sociales y culturales neerlandeses,173705,,Universidad de Nueva Gales del Sur,255837,,,,,Myanmar,27699,
1915,91351,,,,,Sistemas de computación distribuida y paralela,173269,,Universidad de Toulouse,254529,,,,,Paraguay,26890,
1907,90692,,,,,Literatura e historia medieval europea,173133,,Universidad Purdue en West Lafayette,252969,,,,,Malta,26130,
1919,89871,,,,,Aprendizaje en línea y mixto,173000,,Hospital General de Massachusetts,248834,,,,,Albania,25795,
1906,89320,,,,,Identidad e historia canadiense,172652,,Universidad Northwestern,248688,,,,,Baréin,25661,
1905,89135,,,,,Estudios de salud y bienestar,172542,,Universidad de Alberta,245651,,,,,Malaui,24665,
1916,88602,,,,,Big Data e inteligencia empresarial,172388,,Universidad de Fudan,245141,,,,,Burkina Faso,24399,
1900,87368,,,,,Dinámica de fluidos y flujos turbulentos,171525,,Universidad de Aix-Marsella,244971,,,,,Guatemala,23621,
1917,86425,,,,,Casos legales y comentarios,171092,,Politécnico de Milán,243745,,,,,Libia,23212,
1904,84867,,,,,Nutrición y fisiología animal,170661,,Ministerio de Ciencia y Tecnología,242935,,,,,República Árabe Siria,21477,
1918,83799,,,,,Desarrollo internacional y ayuda humanitaria,170574,,Universidad de Ciencia y Tecnología de Huazhong,242428,,,,,Botsuana,21140,
1903,82830,,,,,"Negocios, innovación y economía",170186,,"Rutgers, Universidad Estatal de Nueva Jersey",241734,,,,,"Congo, República Democrática del",20936,
1902,82580,,,,,"Sistemas de salud, evaluaciones económicas y calidad de vida",170101,,Universidad de Copenhague,239634,,,,,Ruanda,20898,
1901,79731,,,,,Estudios de impacto de terremotos y desastres,169924,,Universidad de Arizona,239379,,,,,Burundi,18576,
1899,67827,,,,,Estudios de ecología y gestión de peces,169391,,Universidad de Sichuan,239126,,,,,Jamaica,18236,
1898,64421,,,,,Sistemas y prácticas de atención sanitaria,168863,,Ministerio de Agricultura y Asuntos Rurales,239114,,,,,Malí,18106,
1896,62924,,,,,Geoquímica y cartografía geológica,168120,,Universidad Texas A&M,236908,,,,,Montenegro,17686,
1897,62215,,,,,Fascismo italiano y sociedad de posguerra,168020,,Instituto Nacional de Ciencias del Universo,236404,,,,,Brunéi Darussalam,17628,
1895,58834,,,,,Pedagogía y prácticas educativas,167932,,Observatorio Geodésico Argentino-Alemán,235657,,,,,Níger,16649,
1894,56391,,,,,Finanzas corporativas y gobernanza,166788,,"Ministerio de Ciencia, Tecnología e Innovación",235233,,,,,Nicaragua,16569,
1893,53727,,,,,Análisis de la historia política europea,165660,,Consejo Nacional de Investigaciones Científicas y Técnicas,234893,,,,,Kirguistán,16204,
1890,50797,,,,,Técnicas de gestión y optimización,165555,,Departamento de Comercio de EE. UU.,234366,,,,,Reunión,16036,
1891,49718,,,,,Industrias culturales y desarrollo urbano,164347,,Universidad de Washington en San Luis,232732,,,,,Islas Vírgenes Británicas,15548,
1892,49464,,,,,Exploración de hidrocarburos y análisis de yacimientos,163939,,"Universidad Islámica Azad, Teherán",232045,,,,,El Salvador,15048,
1888,49048,,,,,Enfermedades transmitidas por mosquitos y su control,163874,,"Universidad de Maryland, College Park",230809,,,,,Kosovo,14918,
1889,48365,,,,,Enfermedades valvulares cardiacas y tratamientos,163831,,Instituto de Tecnología de California,230218,,,,,Trinidad y Tobago,14779,
1887,47221,,,,,Estudios de investigación en física nuclear,163698,,"Departamento de Industria, Ciencia y Recursos",228804,,,,,República Dominicana,14753,
1886,44887,,,,,Estudios judíos y del Medio Oriente,163569,,Universidad Central del Sur,228533,,,,,Madagascar,12913,
1885,42536,,,,,Crisis financiera mundial y políticas,162351,,Universidad Técnica de Múnich,228420,,,,,Afganistán,12600,
1884,41207,,,,,"Educación, innovación y estudios del lenguaje",162100,,Universidad Sapienza de Roma,227771,,,,,Honduras,11728,
1880,40609,,,,,Política fiscal y crecimiento económico,161936,,Universidad Estatal de Míchigan,225732,,,,,Namibia,11483,
1883,39857,,,,,Cirugía ortopédica y rehabilitación,161904,,Colegio King's de Londres,225281,,,,,Fiyi,11209,
1881,36747,,,,,Literatura e historia medieval,161000,,"Ministerio de Educación Superior, Investigación y Espacio (Francia)",224202,,,,,Congo,10888,
1882,36174,,,,,Educación superior y métodos de enseñanza,160327,,Ministerio de Europa y Asuntos Exteriores (Francia),220459,,,,,Antigua y Barbuda,10739,
1876,34890,,,,,Cosmología y teorías de la gravitación,159446,,Instituto de Investigación para el Desarrollo,218571,,,,,Guadalupe,10250,
1879,33639,,,,,Varios temas de investigación en química,159001,,Instituto Federal de Tecnología de Zúrich,217432,,,,,Togo,9911,
1878,32100,,,,,Estudios y prácticas de traducción,158889,,Departamento de Química y Ciencias de los Materiales,216237,,,,,Mauricio,9556,
1877,30988,,,,,Historia y sociedad australiana,158876,,Universidad de Emory,216214,,,,,Papúa Nueva Guinea,8961,
1875,28532,,,,,Asma y enfermedades respiratorias,158810,,Universidad de Ámsterdam,214926,,,,,República Democrática Popular Lao,8690,
1874,27257,,,,,Bibliotecas y servicios de información,158626,,Institución Smithsoniana,214547,,,,,Angola,8250,
1873,26416,,,,,Estudios históricos de arte y arquitectura,158608,,Instituto Karolinska,213098,,,,,Gambia,7770,
1872,25078,,,,,Estudios de historia y cultura africana,158436,,Universidad de Lund,211479,,,,,Gabón,7415,
1870,24503,,,,,"Religión, sociedad y desarrollo",158076,,Instituto de Tecnología de Harbin,211112,,,,,Somalia,6826,
1869,22231,,,,,Dinámica de la ionosfera y la magnetosfera,158015,,Medicina Johns Hopkins,210807,,,,,Guayana Francesa,6732,
1867,21566,,,,,Atención primaria y resultados de salud,157902,,Universidad de Kyushu,209852,,,,,Nueva Caledonia,6464,
1857,21457,,,,,Web semántica y ontologías,157067,,Universidad Nacional Autónoma de México,209422,,,,,Granada,6453,
1868,21370,,,,,Química inorgánica y organometálica,156572,,Universidad de Wuhan,209368,,,,,Barbados,6049,
1871,21143,,,,,Bibliotecología y administración,156462,,Universidad de Lieja,208812,,,,,Groenlandia,5915,
1855,20077,,,,,Investigación biomédica y química,156314,,Organización de Investigación Científica e Industrial de la Commonwealth,207977,,,,,Sierra Leona,5549,
1858,19861,,,,,Estudios de cine y medios de comunicación,156181,,Universidad de Ciencia y Tecnología de China,207759,,,,,Mónaco,5419,
1860,19830,,,,,Diagnóstico y manejo del tromboembolismo venoso,155555,,Instituto Politécnico de París,206649,,,,,Liechtenstein,5130,
1863,19775,,,,,Ciencias planetarias y exploración,154815,,Universidad de Montpellier,206326,,,,,Polinesia Francesa,5048,
1862,19751,,,,,Estudios históricos y culturales polacos,154684,,Universidad de Hong Kong,206285,,,,,San Cristóbal y Nieves,5045,
1856,19731,,,,,Computación paralela y técnicas de optimización,153117,,Universidad de Helsinki,205787,,,,,Martinica,5023,
1859,19466,,,,,Técnicas y aplicaciones de psicoterapia,152934,,Ministerio de Ciencia y TIC,205515,,,,,Santo Tomé y Príncipe,4830,
1854,19434,,,,,Estudios históricos y arqueológicos,152839,,Universidad de Utah,203770,,,,,Maldivas,4818,
1866,19339,,,,,Análisis y aplicaciones electroquímicas,152664,,Hospital Brigham and Women's,203338,,,,,Guinea,4363,
1861,19171,,,,,Ondas sísmicas y análisis,151881,,Universidad de Princeton,200652,,,,,Curazao,3769,
1853,18746,,,,,Características genéticas y fenotípicas en ganadería,151249,,Universidad de Hamburgo,199304,,,,,Guam,3717,
1864,18624,,,,,Investigación en horticultura y viticultura,149492,,Universidad de Toulouse III - Paul Sabatier,198000,,,,,Esuatini,3513,
1865,17951,,,,,Historia e identidad nacional escocesa,147859,,Instituto de Ciencias de la Información y sus Interacciones,197613,,,,,"Corea, República Popular Democrática de",3430,
1851,17614,,,,,Química e ingeniería química,147690,,Universidad de Aarhus,197464,,,,,Bután,3423,
1852,17571,,,,,Técnicas avanzadas de fotocatálisis,146900,,Universidad China de Hong Kong,197128,,,,,Guinea-Bisáu,3234,
1850,16970,,,,,Arqueología e historia natural,146184,,Universidad de Birmingham,196935,,,,,Turkmenistán,3153,
1847,15464,,,,,Imagen y diagnóstico cardiaco,145934,,Universidad de Iowa,196514,,,,,Chad,3083,
1848,15009,,,,,Derecho internacional y derechos humanos,145830,,Universidad de Nottingham,195429,,,,,Guyana,3022,
1849,13624,,,,,Estudios de política social y reforma,145787,,Universidad de Bolonia,195150,,,,,Bahamas,2777,
1846,13342,,,,,Glaucoma y trastornos de la retina,145420,,Universidad de Nagoya,195042,,,,,Lesoto,2676,
1845,10825,,,,,Función e interacción de células inmunes,145292,,Universidad de Burdeos,193871,,,,,Belice,2662,
1843,10817,,,,,Investigación en enfermedad pulmonar obstructiva crónica (EPOC),145073,,Instituto Nacional de Investigación en Ciencias y Tecnologías Digitales,193799,,,,,Haití,2574,
1844,10461,,,,,Economía política y marxismo,144978,,Universidad de Padua,191746,,,,,Liberia,2490,
1842,10405,,,,,"Genética, bioinformática e investigación biomédica",144689,,Universidad de Tel Aviv,191269,,,,,Islas Feroe,2300,
1840,10079,,,,,"Finanzas, tributación y gobernanza",144645,,Universidad de Bristol,190420,,,,,República Centroafricana,2187,
1841,9697,,,,,Cuidados paliativos y cuestiones al final de la vida,144445,,Consejo Nacional de Investigación en Ciencia y Tecnología,190272,,,,,Islas Vírgenes de EE. UU.,2048,
1839,9430,,,,,Cultivo de tejidos vegetales y regeneración,144424,,Universidad de Utrecht,190072,,,,,Bermudas,2027,
1837,8103,,,,,Estudios e historia bizantina,144176,,Universidad de Boston,189698,,,,,Mauritania,2000,
1838,7907,,,,,EEG e interfaces cerebro-computadora,144160,,Universidad de Liverpool,189563,,,,,Islas Caimán,1988,
1834,7505,,,,,"Estabilidad, regulación y eficiencia bancaria",143858,,Universidad Jiaotong de Xi'an,188841,,,,,Gibraltar,1916,
1836,6987,,,,,Láseres de semiconductores y dispositivos ópticos,143791,,Consejo de Investigación Científica e Industrial,188057,,,,,Timor Oriental,1806,
1835,6856,,,,,Perspectivas académicas e históricas en psicología,143533,,Universidad Estatal de Moscú Lomonósov,187205,,,,,Eritrea,1721,
1828,6841,,,,,Investigación en salud y seguridad ocupacional,143383,,Universidad Estatal de Iowa,186079,,,,,Cabo Verde,1639,
1827,6769,,,,,"Derecho, logística y comercio internacional",143209,,Instituto de Tecnología de Georgia,185496,,,,,Seychelles,1624,
1830,6709,,,,,Diseño y análisis de antenas,143207,,Universidad Tongji,184600,,,,,Surinam,1599,
1829,6566,,,,,Estudios sobre emprendimiento e influencias,143115,,Universidad de Virginia,184199,,,,,Samoa Americana,1294,
1800,6355,,,,,Anestesia y manejo del dolor,142932,,Universidad de Calgary,183489,,,,,San Marino,1250,
1831,6241,,,,,Métodos computacionales para el descubrimiento de fármacos,142498,,Universidad de Illinois en Chicago,183430,,,,,Santa Sede,1229,
1833,6128,,,,,Estudios de historia y cultura vietnamita,142191,,Universidad Radboud de Nimega,183334,,,,,Isla de Man,1207,
